"LotFrontage","LotArea","YearBuilt","YearRemodAdd","MasVnrArea","BsmtFinSF1","BsmtUnfSF","TotalBsmtSF","X1stFlrSF","X2ndFlrSF","GrLivArea","BsmtFullBath","FullBath","HalfBath","BedroomAbvGr","TotRmsAbvGrd","Fireplaces","GarageYrBlt","GarageCars","GarageArea","WoodDeckSF","OpenPorchSF","SalePrice","OverallQual","Neighborhood","ExterQual","BsmtQual","KitchenQual","GarageFinish","FireplaceQu","Foundation","GarageType","MSSubClass"
65,8450,2003,2003,196,706,150,856,856,854,1710,1,2,1,3,8,0,2003,2,548,0,61,208500,"Good","Moderate","Gd","Gd","Gd","RFn","NFp","PConc","Attchd","60"
80,9600,1976,1976,0,978,284,1262,1262,0,1262,0,2,0,3,6,1,1976,2,460,298,0,181500,"Moderate","Rich","TA","Gd","TA","RFn","TA","CBlock","Attchd","20"
68,11250,2001,2002,162,486,434,920,920,866,1786,1,2,1,3,6,1,2001,2,608,0,42,223500,"Good","Moderate","Gd","Gd","Gd","RFn","TA","PConc","Attchd","60"
60,9550,1915,1970,0,216,540,756,961,756,1717,1,1,0,3,7,1,1998,3,642,0,35,140000,"Good","Rich","TA","TA","Gd","Unf","Gd","BrkTil","Detchd","70"
84,14260,2000,2000,350,655,490,1145,1145,1053,2198,1,2,1,4,9,1,2000,3,836,192,84,250000,"Good","Rich","Gd","Gd","Gd","RFn","TA","PConc","Attchd","60"
85,14115,1993,1995,0,732,64,796,796,566,1362,1,1,1,1,5,0,1993,2,480,40,30,143000,"Moderate","Moderate","TA","Gd","TA","Unf","NFp","Wood","Attchd","50"
75,10084,2004,2005,186,1369,317,1686,1694,0,1694,1,2,0,3,7,1,2004,2,636,255,57,307000,"Good","Rich","Gd","Ex","Gd","RFn","Gd","PConc","Attchd","20"
0,10382,1973,1973,240,859,216,1107,1107,983,2090,1,2,1,3,7,2,1973,2,484,235,204,200000,"Good","Moderate","TA","Gd","TA","RFn","TA","CBlock","Attchd","60"
51,6120,1931,1950,0,0,952,952,1022,752,1774,0,2,0,2,8,2,1931,2,468,90,0,129900,"Good","Poor","TA","TA","TA","Unf","TA","BrkTil","Detchd","50"
50,7420,1939,1950,0,851,140,991,1077,0,1077,1,1,0,2,5,2,1939,1,205,0,4,118000,"Moderate","Poor","TA","TA","TA","RFn","TA","BrkTil","Attchd","190"
70,11200,1965,1965,0,906,134,1040,1040,0,1040,1,1,0,3,5,0,1965,1,384,0,0,129500,"Moderate","Poor","TA","TA","TA","Unf","NFp","CBlock","Detchd","20"
85,11924,2005,2006,286,998,177,1175,1182,1142,2324,1,3,0,4,11,2,2005,3,736,147,21,345000,"VGood","Rich","Ex","Ex","Ex","Fin","Gd","PConc","BuiltIn","60"
0,12968,1962,1962,0,737,175,912,912,0,912,1,1,0,2,4,0,1962,1,352,140,0,144000,"Moderate","Poor","TA","TA","TA","Unf","NFp","CBlock","Detchd","20"
91,10652,2006,2007,306,0,1494,1494,1494,0,1494,0,2,0,3,7,1,2006,3,840,160,33,279500,"Good","Moderate","Gd","Gd","Gd","RFn","Gd","PConc","Attchd","20"
0,10920,1960,1960,212,733,520,1253,1253,0,1253,1,1,1,2,5,1,1960,1,352,0,213,157000,"Moderate","Poor","TA","TA","TA","RFn","Fa","CBlock","Attchd","20"
51,6120,1929,2001,0,0,832,832,854,0,854,0,1,0,2,5,0,1991,2,576,48,112,132000,"Good","Poor","TA","TA","TA","Unf","NFp","BrkTil","Detchd","45"
0,11241,1970,1970,180,578,426,1004,1004,0,1004,1,1,0,2,5,1,1970,2,480,0,0,149000,"Moderate","Poor","TA","TA","TA","Fin","TA","CBlock","Attchd","20"
72,10791,1967,1967,0,0,0,0,1296,0,1296,0,2,0,2,6,0,1967,2,516,0,0,90000,"Bad","Poor","TA","NBsmt","TA","Unf","NFp","Slab","CarPort","90"
66,13695,2004,2004,0,646,468,1114,1114,0,1114,1,1,1,3,6,0,2004,2,576,0,102,159000,"Moderate","Poor","TA","TA","Gd","Unf","NFp","PConc","Detchd","20"
70,7560,1958,1965,0,504,525,1029,1339,0,1339,0,1,0,3,6,0,1958,1,294,0,0,139000,"Moderate","Poor","TA","TA","TA","Unf","NFp","CBlock","Attchd","20"
